species	command
cel	useMart(biomart = "ensembl", dataset = "celegans_gene_ensembl", host="https://www.ensembl.org", archive=FALSE)
hsa	useMart(biomart = "ensembl", dataset = "hsapiens_gene_ensembl", host="https://www.ensembl.org", archive=FALSE)
mmu	useMart(biomart = "ensembl", dataset = "mmusculus_gene_ensembl", host="https://www.ensembl.org", archive=FALSE)
ath	useMart(biomart = "plants_mart", dataset = "athaliana_eg_gene", host="plants.ensembl.org", archive=FALSE)
bta	useMart(biomart = "ensembl", dataset = "btaurus_gene_ensembl", host="https://www.ensembl.org", archive=FALSE)
cfa	useMart(biomart = "ensembl", dataset = "clfamiliaris_gene_ensembl", host="https://www.ensembl.org", archive=FALSE)
dre	useMart(biomart = "ensembl", dataset = "drerio_gene_ensembl", host="https://www.ensembl.org", archive=FALSE)
dme	useMart(biomart = "ensembl", dataset = "dmelanogaster_gene_ensembl", host="https://www.ensembl.org", archive=FALSE)
eca	useMart(biomart = "ensembl", dataset = "ecaballus_gene_ensembl", host="https://www.ensembl.org", archive=FALSE)
gga	useMart(biomart = "ensembl", dataset = "ggallus_gene_ensembl", host="https://www.ensembl.org", archive=FALSE)
osa	useMart(biomart = "plants_mart", dataset = "osativa_eg_gene", host="plants.ensembl.org", archive=FALSE)
ptr	useMart(biomart = "ensembl", dataset = "ptroglodytes_gene_ensembl", host="https://www.ensembl.org", archive=FALSE)
rno	useMart(biomart = "ensembl", dataset = "rnorvegicus_gene_ensembl", host="https://www.ensembl.org", archive=FALSE)
sbi	useMart(biomart = "plants_mart", dataset = "sbicolor_eg_gene", host="plants.ensembl.org", archive=FALSE)
ssc	useMart(biomart = "ensembl", dataset = "sscrofa_gene_ensembl", host="https://www.ensembl.org", archive=FALSE)
zma	useMart(biomart = "plants_mart", dataset = "zmays_eg_gene", host="plants.ensembl.org", archive=FALSE)
mml	useMart(biomart = "ensembl", dataset = "mmulatta_gene_ensembl", host="https://www.ensembl.org", archive=FALSE)
